"","life_expectancy","adult_mortality","infant_deaths","alcohol","hepatitis_b","measles","bmi","under_five_deaths","polio","total_expenditure","diphtheria","hiv_aids","thinness_1_19_years","thinness_5_9_years","income_composition_of_resources","schooling","gdp_per_capita"
"1",65,263,4.14313472639153,0.01,65,7.05185562295589,19.1,4.43081679884331,6,2.21484617868604,65,0.1,17.2,17.3,0.479,10.1,-10.9637459803181
"2",77.8,74,0,4.6,99,0,58,0,99,1.94591014905531,99,0.1,1.2,1.3,0.762,14.2,-1.98812155915387
"3",75.6,19,3.09104245335832,0.01,95,4.15888308335967,59.5,3.2188758248682,95,2.10535292346434,95,0.1,6,5.8,0.743,14.4,-9.17447159300208
"4",52.4,335,4.20469261939097,8.33,64,4.77912349311153,23.3,4.59511985013459,7,1.46093790411566,64,1.9,8.3,8.2,0.531,11.4,-6.62514347501739
"5",76.3,116,2.19722457733622,7.93,94,0,62.8,2.30258509299405,93,1.7561322915849,94,0.1,1,0.9,0.826,17.3,-8.0783725417159
"6",74.8,118,0.693147180559945,3.91,94,3.52636052461616,54.9,0.693147180559945,96,1.70110510095992,94,0.1,2.1,2.2,0.741,12.7,-6.67089448256104
"7",82.8,59,0.693147180559945,9.71,93,4.31748811353631,66.6,0.693147180559945,93,2.34372703632522,93,0.1,0.6,0.6,0.937,20.4,-6.04178998856426
"8",81.5,65,0,12.32,93,5.73657229747919,57.6,0,93,2.50225528812261,93,0.1,1.9,2.1,0.892,15.9,-5.28679837060812
"9",72.7,118,1.79175946922805,0.01,96,0,52.5,1.94591014905531,98,2.00148000021012,96,0.1,2.8,2.9,0.758,12.7,-12.0693773939377
"10",71.8,129,4.53259949315326,0.01,97,5.48479693349065,18.3,4.7361984483945,97,1.34025042261848,97,0.1,17.9,18.3,0.575,10.2,-9.49643920948376
"11",72.3,196,0,13.94,99,1.09861228866811,62.3,0,99,1.90061387414014,99,0.1,1.9,2,0.798,15.6,-7.37471066061723
"12",81.1,74,0,12.6,98,3.87120101090789,63.7,0.693147180559945,99,0.951657875711446,99,0.1,1,1,0.895,16.6,-7.85851679636581
"13",71,175,0,6.58,94,0,5.9,0,94,1.9154509415706,94,0.2,3.5,3.4,0.706,12.8,-4.3051461068329
"14",60,249,3.25809653802148,0.01,82,4.02535169073515,25.7,3.68887945411394,78,1.72097928716701,82,1,6.9,6.8,0.481,10.7,-7.6060275152668
"15",69.8,211,0,0.01,99,2.484906649788,24.5,0,98,1.51951320490611,99,0.5,15.4,16,0.604,12.5,-5.70797273180714
"16",77.4,88,0,4.03,82,7.42535788702715,55.8,0,74,2.35801979988215,82,0.1,2.3,2.3,0.747,14.2,-6.650138351306
"17",65.7,256,1.09861228866811,0.01,95,0,37.9,1.09861228866811,96,1.85785927093258,95,2.2,6.4,6.1,0.698,12.6,-3.55776906241094
"18",75,142,3.76120011569356,7.32,96,5.37063802812766,56.1,3.87120101090789,98,2.2321626286975,96,0.1,2.7,2.6,0.754,15.2,-5.69192772779222
"19",74.5,137,0,12.03,92,0,65.7,0.693147180559945,91,2.24495598015741,91,0.1,1.9,1.8,0.792,15,-6.93379690893541
"20",59.9,26,3.66356164612965,0.01,91,4.60517018598809,19.4,4.12713438504509,91,1.78507048107726,91,0.6,8,7.5,0.399,7.7,-7.9871494666036
